affected features window 50000:

Feature: X_82790000_82800000, score: 0.953488372093
Feature: X_129550000_129560000, score: 0.953488372093
Feature: X_139470000_139480000, score: 0.953488372093
Feature: X_68580000_68590000, score: 0.953488372093
Feature: 8_6690000_6700000, score: 0.976744186047
Feature: X_114770000_114780000, score: 0.953488372093
Feature: X_98040000_98050000, score: 0.953488372093
Feature: 8_17350000_17360000, score: 0.976744186047
Feature: X_84450000_84460000, score: 0.953488372093
Feature: 11_16470000_16480000, score: 0.953488372093
Feature: 21_29050000_29060000, score: 0.953488372093
Feature: 8_1950000_1960000, score: 0.96511627907
Feature: X_96160000_96170000, score: 0.953488372093
Feature: X_90810000_90820000, score: 0.96511627907
Feature: 15_94880000_94890000, score: 0.953488372093
Feature: X_27090000_27100000, score: 0.96511627907
Feature: 8_2580000_2590000, score: 0.96511627907
Feature: 11_16240000_16250000, score: 0.953488372093
Feature: 1_144150000_144160000, score: 0.953488372093
Feature: X_112070000_112080000, score: 0.953488372093
Feature: X_120700000_120710000, score: 0.953488372093
Feature: 9_25210000_25220000, score: 0.953488372093
Feature: 1_171350000_171360000, score: 0.953488372093
Feature: 8_13240000_13250000, score: 0.953488372093


